10.50	0.500	La Semeuse Mocca Grains de café
10.70	0.125	Amici Café Créme 18 portions
10.70	0.125	Amici Espresso de 18 portions
10.95	0.550	Incarom Café & chicorée soluble 2 sachets
10.95	0.200	Jacobs Médaille d'or soluble verre
11.60	1.000	Coop Espresso Café en grains
12.95	1.000	Coop Jubilor café en grains
13.95	0.200	Nescafé Gold de luxe café soluble
13.95	0.200	Nescafé Gold Sérénade Café décaféiné soluble
13.95	0.200	Nescafé Gold All'italiana Café soluble
13.95	0.200	Nescafé Gold Finesse Café soluble
14.50	1.000	Coop Caffè Lussardi en grains
14.95	1.000	Jacobs Médaille d'Or Grains de café 100% Premium 
15.95	1.000	Caffè Chicco D'Oro Tradition Grains de café
15.95	1.000	Lavazza Oro Grains de café
17.95	1.000	Mastro Lorenzo Classico Café en grains
17.95	1.000	Mastro Lorenzo Intenso grains
17.95	1.000	Mastro Lorenzo Crema café en grains
18.45	1.000	Wander Duo Fit Brevage en poudre
19.90	1.000	La Semeuse Mocca Grains de café
